id,name,date,cumulative_proposals
index-cooperative,Index Cooperative,2021-11-25,228
index-cooperative,Index Cooperative,2021-12-02,238
index-cooperative,Index Cooperative,2021-12-04,239
index-cooperative,Index Cooperative,2021-12-08,240
index-cooperative,Index Cooperative,2021-12-09,242
index-cooperative,Index Cooperative,2021-12-10,244
index-cooperative,Index Cooperative,2021-12-15,246
index-cooperative,Index Cooperative,2021-12-16,249
index-cooperative,Index Cooperative,2021-12-17,255
index-cooperative,Index Cooperative,2021-12-19,256
index-cooperative,Index Cooperative,2021-12-22,257
index-cooperative,Index Cooperative,2021-12-23,260
index-cooperative,Index Cooperative,2021-12-24,261
index-cooperative,Index Cooperative,2021-12-27,262
index-cooperative,Index Cooperative,2021-12-28,264
index-cooperative,Index Cooperative,2022-01-02,265
index-cooperative,Index Cooperative,2022-01-06,266
index-cooperative,Index Cooperative,2022-01-07,270
index-cooperative,Index Cooperative,2022-01-08,271
index-cooperative,Index Cooperative,2022-01-10,272
index-cooperative,Index Cooperative,2022-01-14,276
index-cooperative,Index Cooperative,2022-01-15,277
index-cooperative,Index Cooperative,2022-01-16,278
index-cooperative,Index Cooperative,2022-01-20,281
index-cooperative,Index Cooperative,2022-01-21,282
index-cooperative,Index Cooperative,2022-01-27,288
index-cooperative,Index Cooperative,2022-01-28,289
index-cooperative,Index Cooperative,2022-01-30,290
index-cooperative,Index Cooperative,2022-02-02,291
index-cooperative,Index Cooperative,2022-02-04,292
index-cooperative,Index Cooperative,2022-02-06,293
index-cooperative,Index Cooperative,2022-02-08,294
index-cooperative,Index Cooperative,2022-02-09,295
index-cooperative,Index Cooperative,2022-02-10,298
index-cooperative,Index Cooperative,2022-02-12,299
index-cooperative,Index Cooperative,2022-02-15,300
index-cooperative,Index Cooperative,2022-02-17,301
index-cooperative,Index Cooperative,2022-02-18,302
index-cooperative,Index Cooperative,2022-02-19,304
index-cooperative,Index Cooperative,2022-02-23,305
index-cooperative,Index Cooperative,2022-02-24,309
index-cooperative,Index Cooperative,2022-02-25,310
index-cooperative,Index Cooperative,2022-02-26,313
index-cooperative,Index Cooperative,2022-03-03,315
index-cooperative,Index Cooperative,2022-03-05,316
index-cooperative,Index Cooperative,2022-03-07,317
index-cooperative,Index Cooperative,2022-03-09,318
index-cooperative,Index Cooperative,2022-03-10,320
index-cooperative,Index Cooperative,2022-03-13,321
index-cooperative,Index Cooperative,2022-03-15,322
index-cooperative,Index Cooperative,2022-03-17,325
index-cooperative,Index Cooperative,2022-03-18,326
index-cooperative,Index Cooperative,2022-03-19,328
index-cooperative,Index Cooperative,2022-03-20,331
index-cooperative,Index Cooperative,2022-03-21,332
index-cooperative,Index Cooperative,2022-03-22,333
index-cooperative,Index Cooperative,2022-03-23,334
index-cooperative,Index Cooperative,2022-03-24,341
index-cooperative,Index Cooperative,2022-03-26,342
index-cooperative,Index Cooperative,2022-03-27,345
